category,feature,feature_url,version,support
Backend,EXPLAIN (WAL) support,https://www.postgresql.org/about/featurematrix/detail/348/,13,true
Backend,EXPLAIN (WAL) support,https://www.postgresql.org/about/featurematrix/detail/348/,12,false
Backend,EXPLAIN (WAL) support,https://www.postgresql.org/about/featurematrix/detail/348/,11,false
Backend,EXPLAIN (WAL) support,https://www.postgresql.org/about/featurematrix/detail/348/,10,false
Backend,EXPLAIN (WAL) support,https://www.postgresql.org/about/featurematrix/detail/348/,9.6,false
Backend,Inserted data can trigger autovacuum,https://www.postgresql.org/about/featurematrix/detail/341/,13,true
Backend,Inserted data can trigger autovacuum,https://www.postgresql.org/about/featurematrix/detail/341/,12,false
Backend,Inserted data can trigger autovacuum,https://www.postgresql.org/about/featurematrix/detail/341/,11,false
Backend,Inserted data can trigger autovacuum,https://www.postgresql.org/about/featurematrix/detail/341/,10,false
Backend,Inserted data can trigger autovacuum,https://www.postgresql.org/about/featurematrix/detail/341/,9.6,false
Backend,Parallelized VACUUM for Indexes,https://www.postgresql.org/about/featurematrix/detail/340/,13,true
Backend,Parallelized VACUUM for Indexes,https://www.postgresql.org/about/featurematrix/detail/340/,12,false
Backend,Parallelized VACUUM for Indexes,https://www.postgresql.org/about/featurematrix/detail/340/,11,false
Backend,Parallelized VACUUM for Indexes,https://www.postgresql.org/about/featurematrix/detail/340/,10,false
Backend,Parallelized VACUUM for Indexes,https://www.postgresql.org/about/featurematrix/detail/340/,9.6,false
"Data Types, Functions, & Operators",macaddr8 data type,https://www.postgresql.org/docs/10/datatype-net-types.html#datatype-macaddr8,13,yes
"Data Types, Functions, & Operators",macaddr8 data type,https://www.postgresql.org/docs/10/datatype-net-types.html#datatype-macaddr8,12,yes
"Data Types, Functions, & Operators",macaddr8 data type,https://www.postgresql.org/docs/10/datatype-net-types.html#datatype-macaddr8,11,yes
"Data Types, Functions, & Operators",macaddr8 data type,https://www.postgresql.org/docs/10/datatype-net-types.html#datatype-macaddr8,10,yes
"Data Types, Functions, & Operators",macaddr8 data type,https://www.postgresql.org/docs/10/datatype-net-types.html#datatype-macaddr8,9.6,no
"Data Types, Functions, & Operators",SQL/JSON: datetime(),https://www.postgresql.org/about/featurematrix/detail/346/,13,yes
"Data Types, Functions, & Operators",SQL/JSON: datetime(),https://www.postgresql.org/about/featurematrix/detail/346/,12,no
"Data Types, Functions, & Operators",SQL/JSON: datetime(),https://www.postgresql.org/about/featurematrix/detail/346/,11,no
"Data Types, Functions, & Operators",SQL/JSON: datetime(),https://www.postgresql.org/about/featurematrix/detail/346/,10,no
"Data Types, Functions, & Operators",SQL/JSON: datetime(),https://www.postgresql.org/about/featurematrix/detail/346/,9.6,no
