global,version,current_minor,supported,first_release,final_release
13,13,13.2,yes,2020/09/24,2025/11/13
12,12,12.6,yes,2019/10/03,2024/11/14
11,11,11.11,yes,2018/10/18,2023/11/09
10,10,10.16,yes,2017/10/05,2022/11/10
9,9.6,9.6.21,yes,2016/09/29,2021/11/11
9,9.5,9.5.25,no,2016/01/07,2021/02/11
9,9.4,9.4.26,no,2014/12/18,2020/02/13
9,9.3,9.3.25,no,2013/09/09,2018/11/08
9,9.2,9.2.24,no,2012/09/10,2017/11/09
9,9.1,9.1.24,no,2011/09/12,2016/10/27
9,9.0,9.0.23,no,2020/09/20,2015/10/08
8,8.4,8.4.22,no,2009/07/01,2014/07/24
8,8.3,8.3.23,no,2008/02/04,2013/02/07
8,8.2,8.2.23,no,2006/12/05,2011/12/05
8,8.1,8.1.23,no,2005/11/08,2010/11/08
8,8.0,8.0.26,no,2005/01/19,2010/10/01
8,7.4,7.4.30,no,2003/11/17,2010/10/01
7,7.3,7.3.21,no,2002/11/27,2007/11/27
7,7.2,7.2.8,no,2002/02/04,2007/02/04
7,7.1,7.1.3,no,2001/04/13,2006/04/13
7,7.0,7.0.3,no,2000/05/08,2005/05/08
7,6.5,6.5.3,no,1999/06/09,2004/06/09
6,6.4,6.4.2,no,1998/10/30,2003/10/30
6,6.3,6.3.2,no,1998/03/01,2003/03/01
