server,pg-package
pgsql-killmonger,postgresql95-server-9.5.18-1PGDG.rhel7.x86_64
pgsql-killmonger-qul,postgresql95-server-9.5.18-1PGDG.rhel7.x86_64
pgsql-loki,postgresql95-server-9.5.0-2PGDG.rhel7.x86_64
pgsql-loki-qul,postgresql95-server-9.5.4-1PGDG.rhel7.x86_64
pgsql-thanos,postgresql95-server-9.5.3-2PGDG.rhel7.x86_64
pgsql-thanos-dev,postgresql95-server-9.5.3-2PGDG.rhel7.x86_64
pgsql-thanos-qul,postgresql95-server-9.5.3-2PGDG.rhel7.x86_64
pgsql-adriantoomes-int,postgresql96-server-9.6.6-1PGDG.rhel7.x86_64
pgsql-adriantoomes-qul,postgresql96-server-9.6.7-1PGDG.rhel7.x86_64
pgsql-mandarin-int,postgresql96-server-9.6.10-1PGDG.rhel7.x86_64
pgsql-mandarin-qul,postgresql96-server-9.6.10-1PGDG.rhel7.x86_64
pgsql-redskull,postgresql96-server-9.6.14-1PGDG.rhel7.x86_64
pgsql-obadiahstane,postgresql96-server-9.6.14-1PGDG.rhel7.x86_64
pgsql-mobilis,postgresql96-server-9.6.7-1PGDG.rhel7.x86_64
pgsql-mobilis-int,postgresql96-server-9.6.6-1PGDG.rhel7.x86_64
pgsql-mobilis-qul,postgresql96-server-9.6.7-1PGDG.rhel7.x86_64
pgsql-justinhammer,postgresql96-server-9.6.8-1PGDG.rhel7.x86_64
pgsql-justinhammer-1-qul,postgresql96-server-9.6.3-1PGDG.rhel7.x86_64
pgsql-justinhammer-int,postgresql96-server-9.6.2-2PGDG.rhel7.x86_64
pgsql-helmutzemo,postgresql96-server-9.6.2-2PGDG.rhel7.x86_64
pgsql-helmutzemo-qul,postgresql96-server-9.6.2-2PGDG.rhel7.x86_64
pgsql-wintersoldier,postgresql96-server-9.6.2-2PGDG.rhel7.x86_64
pgsql-wintersoldier-int,postgresql96-server-9.6.3-1PGDG.rhel7.x86_64
pgsql-wintersoldier-qul,postgresql96-server-9.6.5-1PGDG.rhel7.x86_64
pgsql-ego,postgresql96-server-9.6.7-1PGDG.rhel7.x86_64
pgsql-ego-int,postgresql96-server-9.6.3-1PGDG.rhel7.x86_64
pgsql-ego-qul,postgresql96-server-9.6.6-1PGDG.rhel7.x86_64
pgsql-ultron,postgresql96-server-9.6.10-1PGDG.rhel7.x86_64
pgsql-ultron-for,postgresql96-server-9.6.8-1PGDG.rhel7.x86_64
